,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dodge,Journey,2.0crd Se 7 Plazas Plus,2010,,199.000 km,Diesel,140 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dodge-journey-20crd-se-7-plazas-plus-en-valencia.htm?id=7984338,7000
1,Dodge,Journey,2.0crd Se 7 Plazas,2009,12,215.000 km,Diesel,140 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dodge-journey-20crd-se-7-plazas-en-barcelona.htm?id=8099671,7499
